car_id,model,transmission,mileage,fuel_type,mpg,engine_size,year
1, A1,Manual,15735,Petrol,55.4,1.4,2017
2, A6,Automatic,36203,Diesel,64.2,2.0,2016
3, A1,Manual,29946,Petrol,55.4,1.4,2016
4, A4,Automatic,25952,Diesel,67.3,2.0,2017
5, A3,Manual,1998,Petrol,49.6,1.0,2019
6, A1,Automatic,32260,Petrol,58.9,1.4,2016
7, A6,Automatic,76788,Diesel,61.4,2.0,2016
8, A4,Manual,75185,Diesel,70.6,2.0,2016
9, A3,Manual,46112,Petrol,60.1,1.4,2015
10, A1,Manual,22451,Petrol,55.4,1.4,2016
11, A3,Manual,28955,Petrol,58.9,1.4,2017
12, A6,Automatic,52198,Diesel,57.6,2.0,2016
13, Q3,Manual,44915,Diesel,52.3,2.0,2016
14, A3,Manual,21695,Petrol,58.9,1.4,2017
15, A6,Manual,47348,Diesel,61.4,2.0,2015
16, A3,Automatic,26156,Petrol,58.9,1.4,2017
17, Q3,Automatic,28396,Diesel,53.3,2.0,2016
18, A3,Automatic,30516,Petrol,56.5,1.4,2014
19, Q5,Automatic,37652,Diesel,47.1,2.0,2016
20, Q3,Manual,34110,Petrol,47.9,1.4,2014
21, A5,Automatic,37100,Diesel,67.3,2.0,2017
22, Q5,Automatic,23714,Diesel,47.1,2.0,2016
23, A5,Automatic,21649,Diesel,58.9,3.0,2017
24, A6,Automatic,62748,Diesel,53.3,3.0,2015
25, Q5,Automatic,23789,Diesel,47.1,2.0,2016
26, A4,Automatic,17418,Diesel,62.8,2.0,2017
27, A5,Automatic,33300,Diesel,61.4,2.0,2017
28, A1,Manual,10793,Petrol,56.5,1.4,2018
29, A4,Automatic,25138,Diesel,70.6,2.0,2018
30, A6,Manual,61176,Diesel,62.8,2.0,2015
31, A1,Automatic,54754,Diesel,76.3,1.6,2015
32, Q3,Manual,21369,Petrol,51.4,1.4,2017
33, Q3,Automatic,39190,Diesel,47.9,2.0,2014
34, Q3,Automatic,47482,Petrol,47.9,1.4,2017
35, Q3,Automatic,40501,Diesel,51.4,2.0,2016
36, Q3,Automatic,43195,Diesel,47.9,2.0,2014
37, A1,Manual,31447,Petrol,67.3,1.0,2017
38, A6,Automatic,34030,Diesel,58.9,2.0,2016
39, A4,Manual,29063,Diesel,70.6,2.0,2017
40, A3,Manual,29545,Diesel,65.7,2.0,2017
41, A3,Manual,75619,Diesel,68.9,2.0,2015
42, Q3,Automatic,39603,Diesel,50.4,2.0,2016
43, Q3,Automatic,42908,Diesel,51.4,2.0,2017
44, A5,Automatic,83872,Diesel,58.9,2.0,2014
45, Q3,Automatic,58750,Petrol,47.9,1.4,2016
46, A3,Manual,2029,Petrol,49.6,1.0,2019
47, A6,Automatic,22958,Petrol,50.4,1.8,2018
48, A4,Automatic,32097,Diesel,72.4,2.0,2017
49, A5,Automatic,13057,Petrol,53.3,2.0,2017
50, S4,Automatic,20278,Petrol,38.7,3.0,2017
51, A4,Manual,52561,Diesel,74.3,2.0,2016
52, A6,Automatic,31604,Diesel,67.3,2.0,2015
53, Q3,Manual,32011,Petrol,49.6,1.4,2016
54, Q3,Manual,39134,Diesel,60.1,2.0,2016
55, Q5,Automatic,89483,Diesel,47.1,2.0,2015
56, A3,Automatic,56291,Petrol,42.8,1.8,2015
57, A6,Automatic,47767,Diesel,61.4,2.0,2016
58, A1,Manual,34315,Petrol,53.3,1.4,2014
59, A3,Manual,66369,Diesel,83.1,1.6,2016
60, A6,Manual,34110,Diesel,61.4,2.0,2016
61, A1,Manual,76269,Diesel,74.3,1.6,2013
62, A3,Manual,37840,Diesel,70.6,1.6,2016
63, A3,Manual,26249,Diesel,67.3,1.6,2017
64, Q3,Manual,44898,Diesel,57.7,2.0,2017
65, Q3,Manual,67161,Petrol,51.4,1.4,2017
66, A3,Manual,17992,Petrol,54.3,1.5,2018
67, A4,Manual,97440,Diesel,70.6,2.0,2016
68, A1,Manual,19268,Petrol,67.3,1.0,2017
69, A3,Automatic,51441,Petrol,50.4,1.8,2013
70, A1,Manual,18181,Petrol,67.3,1.0,2016
71, A3,Manual,19494,Diesel,67.3,2.0,2016
72, A6,Manual,32808,Diesel,61.4,2.0,2016
73, A3,Manual,25965,Diesel,65.7,2.0,2017
74, A3,Manual,88215,Diesel,68.9,2.0,2016
75, A3,Manual,5704,Petrol,49.6,1.0,2019
76, A4,Manual,10959,Petrol,51.4,1.4,2017
77, Q5,Automatic,30201,Diesel,47.1,2.0,2016
78, Q3,Automatic,19319,Petrol,40.4,2.0,2017
79, A6,Manual,22582,Diesel,61.4,2.0,2017
80, A5,Manual,20052,Petrol,49.6,2.0,2017
81, Q3,Manual,16666,Diesel,60.1,2.0,2016
82, A3,Manual,25626,Diesel,74.3,1.6,2016
83, A3,Manual,10460,Petrol,60.1,1.4,2016
84, A6,Automatic,43307,Diesel,57.6,2.0,2016
85, A1,Manual,29327,Petrol,55.4,1.4,2017
